A2541C8MY0BYV3, 8, 1491851064118, stimulus, square, small, blue, striped, , N, 629
A2541C8MY0BYV3, 9, 1491851065143, stimulus, triangle, small, blue, striped, , Y, 1005
A2541C8MY0BYV3, 10, 1491851065910, stimulus, triangle, big, red, striped, , Y, 748
A2541C8MY0BYV3, 11, 1491851066471, stimulus, square, big, blue, striped, , N, 542
A2541C8MY0BYV3, 12, 1491851066999, stimulus, square, big, red, striped, , N, 511
A2541C8MY0BYV3, 13, 1491851068376, stimulus, square, big, red, not_striped, , N, 1372
A2541C8MY0BYV3, 14, 1491851068887, stimulus, triangle, big, red, not_striped, , Y, 491
A2541C8MY0BYV3, 15, 1491851069800, stimulus, triangle, small, red, striped, , Y, 889
A2541C8MY0BYV3, 16, 1491851070326, stimulus, square, small, blue, not_striped, , N, 518
A2541C8MY0BYV3, 17, 1491851070854, stimulus, triangle, small, red, not_striped, , Y, 520
A2541C8MY0BYV3, 18, 1491851084684, Response, Has to be a triangle or red.
A2NAKIXS3DVGAA, 0, 1491851323481, blicket, triangle, big, red, not_striped, 
A2NAKIXS3DVGAA, 3, 1491851351684, stimulus, triangle, small, blue, striped, , N, 18850
A2NAKIXS3DVGAA, 4, 1491851353205, stimulus, square, small, red, striped, , N, 1509
A2NAKIXS3DVGAA, 5, 1491851355184, stimulus, triangle, big, blue, striped, , N, 1975
A2NAKIXS3DVGAA, 6, 1491851356148, stimulus, triangle, small, red, not_striped, , Y, 961
A2NAKIXS3DVGAA, 7, 1491851356948, stimulus, square, small, red, not_striped, , N, 797
A2NAKIXS3DVGAA, 8, 1491851357430, stimulus, square, small, blue, striped, , N, 477
A2NAKIXS3DVGAA, 9, 1491851357856, stimulus, triangle, small, blue, not_striped, , N, 424
A2NAKIXS3DVGAA, 10, 1491851358358, stimulus, square, big, blue, striped, , N, 499
A2NAKIXS3DVGAA, 11, 1491851358848, stimulus, square, big, red, striped, , N, 485
A2NAKIXS3DVGAA, 12, 1491851359221, stimulus, triangle, big, red, striped, , N, 370
A2NAKIXS3DVGAA, 13, 1491851359670, stimulus, triangle, small, red, striped, , N, 446
A2NAKIXS3DVGAA, 14, 1491851360167, stimulus, square, small, blue, not_striped, , N, 495
A2NAKIXS3DVGAA, 15, 1491851360848, stimulus, square, big, red, not_striped, , N, 679
A2NAKIXS3DVGAA, 16, 1491851361406, stimulus, triangle, big, red, not_striped, , Y, 555
A2NAKIXS3DVGAA, 17, 1491851361820, stimulus, square, big, blue, not_striped, , N, 412
A2NAKIXS3DVGAA, 18, 1491851371634, Response, Being a red triangle.
A1X0H6VAK3AQE9, 0, 1491851330856, blicket, triangle, small, red, striped, 
A1X0H6VAK3AQE9, 3, 1491851352145, stimulus, triangle, small, red, striped, , Y, 2730
A1X0H6VAK3AQE9, 4, 1491851354084, stimulus, square, big, blue, not_striped, , N, 1927
A1X0H6VAK3AQE9, 5, 1491851355219, stimulus, triangle, big, blue, striped, , Y, 1126
A1X0H6VAK3AQE9, 6, 1491851356157, stimulus, triangle, big, blue, not_striped, , N, 930
A1X0H6VAK3AQE9, 7, 1491851358079, stimulus, square, small, red, striped, , N, 1911
A1X0H6VAK3AQE9, 8, 1491851359095, stimulus, triangle, big, red, striped, , Y, 1006
A1X0H6VAK3AQE9, 9, 1491851359891, stimulus, triangle, big, red, not_striped, , N, 791
